,Case,acqlabel,acq_id,PhaseEncodingDirection_fmap,EffectiveEchoSpacing_fmap,TotalReadoutTime_fmap,RepetitionTime_fmap,EchoTime_fmap
231,sub-NDARVL555VVA/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df45153d56695006cc0bfc1,j,0.000550001,0.04565,5.301,0.0512
232,sub-NDARVP135ZGE/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5df451f1d56695006cc0bfe2,j-,0.000414993,0.0427443,3.32,0.1002
233,sub-NDARVP135ZGE/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df451f2d56695006cc0bfe3,j,0.000414993,0.0427443,3.32,0.1002
234,sub-NDARVP281CJ4/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df4525ad56695005bc07702,j,0.000550001,0.04565,5.301,0.0512
235,sub-NDARVV174JHW/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5df45379d566950057c03e20,j-,0.000414993,0.0427443,3.32,0.1002
236,sub-NDARVV174JHW/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df4537ad566950057c03e21,i-,0.000414993,0.0427443,3.32,0.1002
237,sub-NDARVV199XK2/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df45419d566950078c12134,j,0.000550001,0.04565,5.301,0.0512
238,sub-NDARVX162AZU/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df454aed566950057c03e29,j,0.000550001,0.04565,5.301,0.0512
239,sub-NDARWA513WM2/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df45553d56695005bc0772c,j,0.000550001,0.04565,5.301,0.0512
240,sub-NDARWA622HHZ/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df455f1d566950055c02e47,j,0.000550001,0.04565,5.301,0.0512
241,sub-NDARWG831JJ8/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df4566fd566950078c12166,j,0.000550001,0.04565,5.301,0.0512
242,sub-NDARWJ217HDQ/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df456f9d56695006cc0c06a,j,0.000550001,0.04565,5.301,0.0512
243,sub-NDARWK065NJ9/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df4579dd56695006cc0c072,j,0.000550001,0.04565,5.301,0.0512
244,sub-NDARWM319UU2/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df4580ad56695006cc0c078,j,0.000550001,0.04565,5.301,0.0512
245,sub-NDARWM527PRT/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df458bfd566950078c12199,j,0.000550001,0.04565,5.301,0.0512
246,sub-NDARWP954GPJ/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df4595fd566950078c121a9,j,0.000550001,0.04565,5.301,0.0512
247,sub-NDARWR732NZE/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df459e8d566950078c121b6,j,0.000550001,0.04565,5.301,0.0512
248,sub-NDARWT389BYY/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df45a7ed566950078c121c3,j,0.000550001,0.04565,5.301,0.0512
249,sub-NDARWV405ZW0/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df45b0ed56695006cc0c09f,j,0.000550001,0.04565,5.301,0.0512
250,sub-NDARWW003WWW/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df45b94d566950078c121dd,j,0.000550001,0.04565,5.301,0.0512
251,sub-NDARWW005GCU/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df45c22d566950078c121e7,j,0.000550001,0.04565,5.301,0.0512
252,sub-NDARWX338NDL/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df45cc5d566950078c121f3,j,0.000550001,0.04565,5.301,0.0512
253,sub-NDARXC878WB2/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df45d50d566950078c121fd,j,0.000550001,0.04565,5.301,0.0512
254,sub-NDARXD388TTE/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5df45dd7d566950059c05a82,j-,0.000414993,0.0427443,3.32,0.1002
255,sub-NDARXD388TTE/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df45dd7d566950059c05a84,i,0.000414993,0.0427443,3.32,0.1002
256,sub-NDARXG736VP9/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df45e54d56695005bc07752,j,0.000550001,0.04565,5.301,0.0512
257,sub-NDARXH597ML1/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df45effd56695006cc0c0d4,j,0.000550001,0.04565,5.301,0.0512
258,sub-NDARXK076XU8/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5df45f69d566950057c03e3b,j-,0.000414993,0.0427443,3.32,0.1002
259,sub-NDARXK076XU8/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df45f6ad566950078c1222e,j,0.000414993,0.0427443,3.32,0.1002
260,sub-NDARXL588FFJ/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df46006d566950057c03e3d,j-,0.000550001,0.04565,5.301,0.0512
261,sub-NDARXR965TFK/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df4609fd566950078c12244,j,0.000550001,0.04565,5.301,0.0512
262,sub-NDARXT792GY8/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df46130d566950059c05a97,j,0.000550001,0.04565,5.301,0.0512
263,sub-NDARXU018RGY/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df461c6d566950057c03e44,j,0.000550001,0.04565,5.301,0.0512
264,sub-NDARXU253JHC/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df461d5d56695006cc0c108,j-,0.000550001,0.04565,5.301,0.0512
265,sub-NDARXX895FNJ/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df4627ed566950078c1226c,j,0.000550001,0.04565,5.301,0.0512
266,sub-NDARXY162ERA/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df46318d56695006cc0c117,j-,0.000550001,0.04565,5.301,0.0512
267,sub-NDARXY938XY7/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df463aed566950078c12289,j-,0.000550001,0.04565,5.301,0.0512
268,sub-NDARXZ685TU4/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df4642bd566950059c05aa6,j,0.000414993,0.0427443,3.32,0.1002
269,sub-NDARYA503XVQ/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df464bdd566950078c122a0,j,0.000550001,0.04565,5.301,0.0512
270,sub-NDARYA556KP8/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df46545d56695006cc0c12d,j,0.000550001,0.04565,5.301,0.0512
271,sub-NDARYD195BDH/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df465dfd566950078c122c1,j,0.000550001,0.04565,5.301,0.0512
272,sub-NDARYD546HCB/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5df46677d56695006cc0c145,j-,0.000414993,0.0427443,3.32,0.1002
273,sub-NDARYD546HCB/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df46678d56695006cc0c147,i-,0.000414993,0.0427443,3.32,0.1002
274,sub-NDARYF135ZHU/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df466eed566950059c05ab3,j,0.000550001,0.04565,5.301,0.0512
275,sub-NDARYG546ZFF/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5df46767d566950078c122e4,j-,0.000414993,0.0427443,3.32,0.1002
276,sub-NDARYG546ZFF/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df46768d56695005bc07790,i-,0.000414993,0.0427443,3.32,0.1002
277,sub-NDARYG874EKA/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df46800d56695005bc07793,j,0.000550001,0.04565,5.301,0.0512
278,sub-NDARYL124VM6/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5df468abd566950078c12304,j-,0.000414993,0.0427443,3.32,0.1002
279,sub-NDARYL124VM6/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df468acd56695005bc07798,j,0.000414993,0.0427443,3.32,0.1002
280,sub-NDARYR150UDP/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df4694ad566950078c12310,j,0.000550001,0.04565,5.301,0.0512
281,sub-NDARYR829KD8/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5df469e6d566950078c12322,j-,0.000414993,0.0427443,3.32,0.1002
282,sub-NDARYR829KD8/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df469e7d566950078c12324,i-,0.000414993,0.0427443,3.32,0.1002
283,sub-NDARYZ363HP4/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df46a61d566950078c12332,j,0.000550001,0.04565,5.301,0.0512
284,sub-NDARYZ770NA1/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df46ae7d566950059c05ac5,j,0.000550001,0.04565,5.301,0.0512
285,sub-NDARZA694WHF/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5df46b89d566950057c03e56,j-,0.000414993,0.0427443,3.32,0.1002
286,sub-NDARZA694WHF/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df46b8ad56695005bc077ab,j,0.000414993,0.0427443,3.32,0.1002
287,sub-NDARZC499NVX/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df46c24d566950078c1235b,j,0.000550001,0.04565,5.301,0.0512
288,sub-NDARZD099KWW/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df46cb4d56695006cc0c1a7,j,0.000550001,0.04565,5.301,0.0512
289,sub-NDARZF602KU6/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df46e00d566950078c12382,j,0.000550001,0.04565,5.301,0.0512
290,sub-NDARZH451LRZ/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df46e91d56695005bc077bd,j,0.000550001,0.04565,5.301,0.0512
291,sub-NDARZJ016GL0/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5df46f32d56695006cc0c1ca,j-,0.000414993,0.0427443,3.32,0.1002
292,sub-NDARZJ016GL0/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df46f33d566950078c123a0,i-,0.000414993,0.0427443,3.32,0.1002
293,sub-NDARZJ460RWZ/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df46fc9d56695006cc0c1d4,j-,0.000550001,0.04565,5.301,0.0512
294,sub-NDARZL724HAX/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df47060d56695006cc0c1dc,j,0.000550001,0.04565,5.301,0.0512
295,sub-NDARZN277NR6/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df470ffd566950078c123d1,j-,0.000550001,0.04565,5.301,0.0512
296,sub-NDARZP630WYL/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5df471b8d566950078c123e1,j-,0.000414993,0.0427443,3.32,0.1002
297,sub-NDARZP630WYL/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df471b9d566950043c021e8,i-,0.000414993,0.0427443,3.32,0.1002
298,sub-NDARZX561DR9/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df471fcd566950078c123e7,j,0.000550001,0.04565,5.301,0.0512
299,sub-NDARZY668NMV/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5df4728ed566950078c123f4,j,0.000414993,0.0427443,3.32,0.1002
300,sub-NDARAA948VFH/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de82cf340116e005bcf8c02,j-,0.000414993,0.0427443,3.32,0.1002
301,sub-NDARAA948VFH/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de82cf440116e0057bca806,j,0.000414993,0.0427443,3.32,0.1002
302,sub-NDARAC853DTE/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de83a1a40116e0058c4f5a9,j-,0.000414993,0.0427443,3.32,0.1002
303,sub-NDARAC853DTE/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de83a1b40116e0058c4f5ab,j,0.000414993,0.0427443,3.32,0.1002
304,sub-NDARAG340ERT/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de843ff40116e005bcf9094,j-,0.000414993,0.0427443,3.32,0.1002
305,sub-NDARAG340ERT/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de8440040116e0057bca998,j,0.000414993,0.0427443,3.32,0.1002
306,sub-NDARAH948UF0/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de8478840116e0054b7bc95,j-,0.000414993,0.0427443,3.32,0.1002
307,sub-NDARAH948UF0/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de8478940116e0053b56ee0,j,0.000414993,0.0427443,3.32,0.1002
308,sub-NDARAM675UR8/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de84aef40116e005bcf9177,j-,0.000414993,0.0427443,3.32,0.1002
309,sub-NDARAM675UR8/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de84af140116e0058c4f7ee,j,0.000414993,0.0427443,3.32,0.1002
310,sub-NDARAP782TVC/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de851aa40116e005bcf92ee,j-,0.000414993,0.0427443,3.32,0.1002
311,sub-NDARAP782TVC/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de851ab40116e005bcf92ef,j,0.000414993,0.0427443,3.32,0.1002
312,sub-NDARAT581NDH/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de8566540116e0058c4f927,j-,0.000414993,0.0427443,3.32,0.1002
313,sub-NDARAT581NDH/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de8566640116e0058c4f92a,j,0.000414993,0.0427443,3.32,0.1002
314,sub-NDARAV610EY3/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de85ead40116e005bcf953b,j-,0.000414993,0.0427443,3.32,0.1002
315,sub-NDARAV610EY3/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de85eae40116e0057bcaaf3,j,0.000414993,0.0427443,3.32,0.1002
