,Case,acqlabel,acq_id,PhaseEncodingDirection_dwi,EffectiveEchoSpacing_dwi,TotalReadoutTime_dwi,RepetitionTime_dwi,EchoTime_dwi
90,sub-NDARHD507TEF/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4782ad566950055c02e5d,j-,0.000414993,0.0427443,3.32,0.1002
91,sub-NDARHF351AA6/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df478ccd566950078c124b2,j-,0.000414993,0.0427443,3.32,0.1002
92,sub-NDARHG152GZC/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4794bd56695006cc0c25c,j-,0.000414993,0.0427443,3.32,0.1002
93,sub-NDARHJ034LDM/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df479edd56695005bc07800,j-,0.000414993,0.0427443,3.32,0.1002
94,sub-NDARHL164JHH/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df47ab0d56695006cc0c27e,j-,0.000414993,0.0427443,3.32,0.1002
95,sub-NDARHN749RW4/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df47b72d56695006cc0c292,j-,0.000414993,0.0427443,3.32,0.1002
96,sub-NDARHP924ZHW/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df47be6d566950078c124fc,j-,0.000414993,0.0427443,3.32,0.1002
97,sub-NDARHY255FVU/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df47cd7d56695005bc0781b,j-,0.000414993,0.0427443,3.32,0.1002
98,sub-NDARHZ255RA6/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df47d3cd566950078c12522,j-,0.000414993,0.0427443,3.32,0.1002
99,sub-NDARJG821GH3/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df47dd8d566950078c12532,j-,0.000414993,0.0427443,3.32,0.1002
100,sub-NDARJM239GN4/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df47e74d566950078c12540,j-,0.000414993,0.0427443,3.32,0.1002
101,sub-NDARJP444DZM/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df47f38d566950078c12555,j-,0.000414993,0.0427443,3.32,0.1002
102,sub-NDARJV268PNW/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df47fe9d566950078c12560,j-,0.000414993,0.0427443,3.32,0.1002
103,sub-NDARJV377HG4/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4810dd566950078c12572,j-,0.000414993,0.0427443,3.32,0.1002
104,sub-NDARJW685KBA/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df48192d56695005bc0784e,j-,0.000414993,0.0427443,3.32,0.1002
105,sub-NDARJZ089HVP/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4820cd566950078c12594,j-,0.000414993,0.0427443,3.32,0.1002
106,sub-NDARJZ274PRQ/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df482add566950078c125ab,j-,0.000414993,0.0427443,3.32,0.1002
107,sub-NDARKA085YRG/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df48363d56695006cc0c32f,j-,0.000414993,0.0427443,3.32,0.1002
108,sub-NDARKH837TB2/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df48410d566950078c125d8,j-,0.000414993,0.0427443,3.32,0.1002
109,sub-NDARKU616UBL/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df484bcd566950078c125ee,j-,0.000414993,0.0427443,3.32,0.1002
110,sub-NDARKV965WLU/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df48562d56695005bc07868,j-,0.000414993,0.0427443,3.32,0.1002
111,sub-NDARKW738AMY/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df485f7d56695006cc0c368,j-,0.000414993,0.0427443,3.32,0.1002
112,sub-NDARKY667THK/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df48695d56695006cc0c372,j-,0.000414993,0.0427443,3.32,0.1002
113,sub-NDARLD016VCA/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df48741d56695005bc0787d,j-,0.000414993,0.0427443,3.32,0.1002
114,sub-NDARLE554GYT/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df48861d56695006cc0c389,j-,0.000414993,0.0427443,3.32,0.1002
115,sub-NDARLJ654TZ0/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4896bd56695006cc0c395,j-,0.000414993,0.0427443,3.32,0.1002
116,sub-NDARLJ886BFK/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df48a70d566950078c1267a,j-,0.000414993,0.0427443,3.32,0.1002
117,sub-NDARLL914UW4/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df48b28d56695006cc0c3a9,j-,0.000414993,0.0427443,3.32,0.1002
118,sub-NDARLN070VX7/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df48bc5d56695005bc078a3,j-,0.000414993,0.0427443,3.32,0.1002
119,sub-NDARLN778RYN/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df48c75d566950078c126b4,j-,0.000414993,0.0427443,3.32,0.1002
120,sub-NDARMG196KV4/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df48dc8d56695006cc0c3c9,j-,0.000414993,0.0427443,3.32,0.1002
121,sub-NDARMJ334ZK3/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df48e78d56695006cc0c3d8,j-,0.000414993,0.0427443,3.32,0.1002
122,sub-NDARMJ849UKD/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df48f26d566950078c12700,j-,0.000414993,0.0427443,3.32,0.1002
123,sub-NDARML406ZB8/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df48fced56695006cc0c3e6,j-,0.000414993,0.0427443,3.32,0.1002
124,sub-NDARMM005DLK/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df49040d566950057c03e83,j-,0.000414993,0.0427443,3.32,0.1002
